DISTRICT,LOCATION,LONGITUDE,LATITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,TH,SAR_VALUE,RSC_VALUE
Patiala,Behmana,76.1347,30.1789,8.65,930,36,256.0,48.0,168.0,1.0,0.80,0,8.0,7.3,217.0,0.9,,50,11.09542684,4.4
Patiala,Bhojo Majri,76.1778,30.4156,7.94,630,0,330.0,46.0,0.0,8.3,0.50,0,48.0,24.0,52.0,17.0,,220,1.225651754,1.0
Patiala,Bir Kauli,76.514,30.414,8.04,1132,0,464.0,77.0,152.0,1.4,0.75,0,40.0,51.0,155.0,7.5,,310,3.249682994,1.4
Patiala,Chahal,76.238,30.546,7.92,687,0,336.0,83.0,0.0,0.0,0.48,0,40.0,32.0,82.0,8.7,,230,1.932758535,0.8
Patiala,Chhat,76.796,30.614,7.92,453,0,293.0,6.7,0.0,1.8,0.30,0,40.0,19.0,35.0,2.3,,180,0.911322377,1.2
Patiala,Dakarba,76.278,30.255,7.85,467,0,159.0,6.7,98.0,6.6,0.35,0,48.0,29.0,12.0,5.9,,220,0.273505384,-2.2
Patiala,Devi Garh,76.51333333,30.18472222,8.01,936,0,476.0,35.0,102.0,0.0,0.45,0,32.0,39.0,140.0,5.7,,240,3.322988643,3.0
Patiala,Dulladi,76.138,30.383,7.9,1027,0,476.0,83.0,0.0,65.0,0.30,0,40.0,46.0,120.0,9.6,,290,2.587986557,2.0
Patiala,Hari Majra,76.607,30.319,8.08,2413,0,610.0,139.0,595.0,7.4,0.95,0,40.0,36.0,500.0,1.2,,250,11.47078669,5.0
Patiala,Kalyan,76.3031,30.3558,7.85,1039,0,464.0,90.0,35.0,22.0,0.58,0,48.0,44.0,112.0,20.0,,300,2.335361437,1.5
Patiala,Kami Kalan,76.679,30.378,7.7,1330,0,464.0,83.0,250.0,0.7,0.38,0,52.0,58.0,175.0,13.0,,370,3.337119062,0.2
Patiala,Kangthala,76.133,29.841,8.42,2330,24,378.0,292.0,460.0,1.6,0.54,0,24.0,39.0,472.0,3.6,,220,11.89328208,2.5
Patiala,Lacharu Kalan,76.64,30.3433,8.45,2075,48,696.0,180.0,245.0,0.7,0.90,0,12.0,41.0,275.0,290.0,,200,7.554831017,9.0
Patiala,Lachkani,76.3322,30.4011,7.98,957,0,574.0,69.0,0.0,32.0,0.48,0,28.0,34.0,170.0,20.0,,210,4.318004318,5.2
Patiala,Lohakheri,76.586,30.409,7.9,1832,0,513.0,132.0,440.0,15.0,0.80,0,72.0,97.0,227.0,16.0,,570,3.492307692,-3.3
